Time,Frequency,V1,V12,V2,V23,V3,V31,I1,I2,I3,L1,L2,L3,Ln,R1,R2,R3,KA,KA1,KA2,KA3,KT,KT1,KT2,KT3,KV,KV1,KV2,KV3,A12,A23,A31,Q1,Q2,Q3,THDC1,THDC2,THDC3,THDP1,THDP2,THDP3,THDV1,THDV2,THDV3
1-04-10pm,50.093,246.4759,426.5362,246.6041,427.2446,246.3826,427.0046,0.070756,0.061753999999999996,0.060007,0.071353,0.062334,0.009788,0.0,-0.009210000000000001,-0.008487,-0.008843,0.047902,0.017586,0.015371999999999999,0.014943999999999999,0.047483,0.01745,0.015241,0.014792,-0.006542,-0.0022700000000000003,-0.002093,-0.002178,119.989,119.9341,120.0824,-0.991,-0.99,-0.989,2.4,1.92,3.48,4.13,3.2,0.06,0.011892,28.0,2.05
1-04-18pm,50.094,246.3897,426.06,246.542,427.799,246.9199,427.5988,0.070898,0.061912999999999996,0.060003999999999995,0.071494,0.062491,0.009932,0.0,-0.009214,-0.008477,-0.008877999999999999,0.048019,0.017615,0.015404999999999999,0.014995,0.047580000000000004,0.017478999999999998,0.015276999999999999,0.014823,-0.006552,-0.0022700000000000003,-0.0020889999999999997,-0.002192,119.7308,120.0549,120.2197,-0.991,-0.99,-0.989,2.41,1.92,3.47,4.08,3.16,0.06,0.011892,28.0,2.05
1-04-25pm,50.095,246.2921,425.0231,246.1208,427.8419,247.4388,428.5889,0.070966,0.061883999999999995,0.060134,0.071561,0.062460999999999996,0.010008,0.0,-0.009208,-0.008471,-0.008872,0.048036999999999996,0.017625,0.015371999999999999,0.015040000000000001,0.04762,0.017488999999999998,0.015243,0.014886,-0.006548,-0.002268,-0.002085,-0.002195,119.555,119.978,120.4724,-0.991,-0.99,-0.989,2.44,1.94,3.5700000000000003,4.2,3.25,0.05,0.011892,28.0,2.1
1-04-31pm,50.103,246.9735,426.6649,246.7063,427.6572,246.7934,428.2109,0.071034,0.061993,0.060069,0.071629,0.06257499999999999,0.009989,0.0,-0.009210000000000001,-0.008513999999999999,-0.008867,0.048111999999999995,0.01769,0.015437,0.014985,0.047693,0.017554,0.015307,0.014830999999999999,7.299039e-32,-0.002274,-0.0021000000000000003,-0.002188,119.8077,119.9176,120.2802,-0.991,-0.99,-0.989,2.41,1.9300000000000002,3.54,4.23,3.17,0.06,0.011892,28.0,2.13
1-04-37pm,50.106,246.6335,426.9811,246.9737,427.7366,246.5911,427.342,0.070979,0.062095,0.060089,0.071577,0.06267199999999999,0.009811,0.0,-0.009229,-0.008484,-0.008857,0.048108,0.017653,0.015477999999999999,0.014976999999999999,0.04769,0.017516,0.015349,0.014823999999999999,-0.006555999999999999,-0.002276,-0.002095,-0.0021839999999999997,119.978,119.9341,120.0934,-0.991,-0.99,-0.989,2.44,1.96,3.51,4.13,3.25,0.06,0.011892,28.0,2.05
1-04-44pm,50.101,246.7287,427.5839,246.7357,426.8128,246.2765,426.8723,0.07095699999999999,0.062056999999999994,0.060065999999999994,0.07155,0.062633,0.009556,0.0,-0.009191,-0.008478,-0.008858999999999999,0.048054,0.01768,0.015451,0.014922999999999999,0.047637,0.017543,0.015321999999999999,0.014771,-0.006547,-0.0022800000000000003,-0.0020900000000000003,-0.002176,120.3516,119.7418,119.9121,-0.991,-0.99,-0.989,2.42,1.94,3.5700000000000003,4.2,3.22,0.06,0.011892,28.0,2.14
1-04-54pm,50.095,246.3998,427.9963,247.2536,426.7443,245.4965,425.506,0.070896,0.062108,0.059962999999999995,0.07149699999999999,0.062684,0.009564,0.0,-0.009250999999999999,-0.008480000000000001,-0.008843,0.047993999999999995,0.017616,0.015498,0.01488,0.047577,0.017478999999999998,0.015368999999999999,0.014728,-0.006547,-0.0022789999999999998,-0.0020959999999999998,-0.00217,120.434,119.7967,119.7748,-0.991,-0.99,-0.989,2.46,1.9500000000000002,3.51,4.25,3.29,0.06,0.011892,28.0,2.07
1-05-01pm,50.088,246.2837,426.8548,246.7786,426.9946,245.9877,426.2228,0.070871,0.062048,0.06004,0.071461,0.062625,0.009712,0.0,-0.009223,-0.008487,-0.008834999999999999,0.048005,0.017613999999999998,0.015456999999999999,0.014934999999999999,0.047585999999999996,0.017476,0.015326,0.014783,-0.006540000000000001,-0.002271,-0.002094,-0.0021739999999999997,120.1703,119.8846,119.9506,-0.991,-0.99,-0.989,2.31,1.83,3.4,3.91,3.13,0.05,0.011892,28.0,1.96
1-05-07pm,50.086,246.1681,427.4466,247.0526,426.6358,245.5847,425.5674,0.070897,0.062048,0.059973,0.07149699999999999,0.062628,0.009637999999999999,0.0,-0.009247,-0.008501,-0.008824,0.047958999999999995,0.0176,0.015472,0.014887,0.047540000000000006,0.017462,0.015342,0.014735999999999999,7.295511000000001e-32,-0.002276,-0.0021000000000000003,-0.002167,120.3516,119.7913,119.8627,-0.991,-0.99,-0.989,2.33,1.87,3.37,4.01,3.23,0.05,0.011892,28.0,1.97
1-05-13pm,50.084,246.3508,428.3387,247.3706,426.3726,245.1545,425.0613,0.07095599999999999,0.062160999999999994,0.059891999999999994,0.071555,0.06274199999999999,0.009604999999999999,0.0,-0.009238,-0.008518,-0.008812,0.047987999999999996,0.017627,0.01552,0.01484,0.047571999999999996,0.017490000000000002,0.015390000000000001,0.014690000000000002,-0.006542999999999999,-0.002275,-0.002107,-0.00216,120.5658,119.7143,119.7253,-0.991,-0.99,-0.989,2.43,2.01,3.45,4.27,3.35,0.05,0.011892,28.0,2.05
